EB_scientific_name,EB_reporting_rate,BT_replacement_name,TAX,SEN,EXO,VAG,EB_replacement_name,BT_scientific_name,BT_reporting_rate
Calcarius lapponicus,4.78E-04,,,,,,,Calcarius lapponicus,3.96E-04
Calidris alba,0.017979402,,,,,,,Calidris alba,0.013990441
Calidris alpina,0.060901361,,,,,,,Calidris alpina,0.052669895
Calidris bairdii,5.83E-05,,,,,,,Calidris bairdii,1.58E-05
Calidris canutus,0.014486161,,,,,,,Calidris canutus,0.014196183
Calidris falcinellus,3.50E-05,,,,,TRUE,,,
Calidris ferruginea,0.003300792,,,,,,,Calidris ferruginea,0.00238977
Calidris fuscicollis,3.62E-04,,,,,,,Calidris fuscicollis,1.11E-04
Calidris maritima,0.005458553,,,,,,,Calidris maritima,0.005570854
Calidris mauri,3.62E-04,,,,,,,Calidris mauri,1.74E-04
Calidris melanotos,0.002105275,,,,,,,Calidris melanotos,0.001503498
Calidris minuta,0.004922029,,,,,,,Calidris minuta,0.00422562
Calidris pugnax,0.020597875,,,,,,,Calidris pugnax,0.018532586
Calidris pusilla,7.58E-05,,,,,,,Calidris pusilla,4.75E-05
Calidris ruficollis,1.81E-04,,,,,,,Calidris ruficollis,4.75E-05
Calidris subminuta,7.52E-04,,,,,,,Calidris subminuta,2.85E-04
Calidris subruficollis,1.22E-04,,,,,,,Calidris subruficollis,4.75E-05
Calidris temminckii,4.84E-04,,,,,,,Calidris temminckii,5.22E-04
,,,,,TRUE,,,Callonetta leucophrys,1.58E-05
Calonectris borealis,2.92E-05,,,,,,,Calonectris borealis,1.58E-05
Caprimulgus europaeus,8.75E-04,,,,,,,Caprimulgus europaeus,4.59E-04
Carduelis carduelis,0.479425452,,,,,,,Carduelis carduelis,0.470167442
Carpodacus erythrinus,3.09E-04,,,,,,,Carpodacus erythrinus,2.37E-04
,,,TRUE,,,,Cecropis rufula,Cecropis daurica,4.75E-05
Cecropis rufula,1.40E-04,Cecropis daurica,TRUE,,,,,,
Cepphus grylle,0.006286667,,,,,,,Cepphus grylle,0.005475897
Cercotrichas galactotes,5.25E-05,,,,,,,Cercotrichas galactotes,1.58E-05
Certhia familiaris,0.056912418,,,,,,,Certhia familiaris,0.07210458
Cettia cetti,0.086887808,,,,,,,Cettia cetti,0.091301871
,,,TRUE,,,,Anarhynchus alexandrinus,Charadrius alexandrinus,4.75E-05
,,,TRUE,,,,Thinornis dubius,Charadrius dubius,0.024008483
Charadrius hiaticula,0.043143567,,,,,,,Charadrius hiaticula,0.040483651
,,,TRUE,TRUE,,,Eudromias morinellus,Charadrius morinellus,3.17E-04
Chlidonias hybrida,1.75E-04,,,,,,,Chlidonias hybrida,7.91E-05
Chlidonias leucopterus,4.08E-05,,,,,TRUE,,,
Chlidonias niger,0.001714546,,,,,,,Chlidonias niger,0.001487671
Chloris chloris,0.198770659,,,,,,,Chloris chloris,0.206596398
Chroicocephalus philadelphia,5.42E-04,,,,,,,Chroicocephalus philadelphia,4.27E-04
Chroicocephalus ridibundus,0.469079861,,,,,,,Chroicocephalus ridibundus,0.426708448
Chrysolophus pictus,1.17E-05,,,,,,,Chrysolophus pictus,3.17E-05
,,,,,TRUE,,,Ciconia ciconia,8.39E-04
Ciconia nigra,5.72E-04,,,,,,,Ciconia nigra,4.91E-04
Cinclus cinclus,0.01011232,,,,,,,Cinclus cinclus,0.018026145
Circus aeruginosus,0.053932375,,,,,,,Circus aeruginosus,0.048729149
Circus cyaneus,0.002461014,,,,,,,Circus cyaneus,0.005776596
Circus macrourus,1.17E-05,,,,,TRUE,,,
,,,,TRUE,,,,Circus pygargus,1.58E-05
Clangula hyemalis,0.004542963,,,,,,,Clangula hyemalis,0.003972399
Coccothraustes coccothraustes,0.002011967,,,,,,,Coccothraustes coccothraustes,0.001297756
Coloeus monedula,0.462355809,,,,,,,Coloeus monedula,0.488953249
Columba livia,0.251303405,,,,,,,Columba livia,0.199063084
Columba oenas,0.176207472,,,,,,,Columba oenas,0.158452822
Columba palumbus,0.742555723,,,,,,,Columba palumbus,0.75211281
Coracias garrulus,5.60E-04,,,,,,,Coracias garrulus,2.53E-04
Corvus corax,0.066721485,,,,,,,Corvus corax,0.072452759
Corvus cornix,0.016632259,,,,,,,Corvus cornix,0.010698572
Corvus corone,0.656443542,,,,,,,Corvus corone,0.66272592
Corvus frugilegus,0.184651901,,,,,,,Corvus frugilegus,0.192748394
Coturnix coturnix,5.95E-04,,,,,,,Coturnix coturnix,5.06E-04
Crex crex,5.83E-06,,,,,,,Crex crex,7.75E-04
Cuculus canorus,0.025350782,,,,,,,Cuculus canorus,0.030513088
Curruca cantillans,7.00E-05,,,,,TRUE,,,
Curruca communis,0.102260401,,,,,,,Curruca communis,0.108647485
Curruca curruca,0.019256564,,,,,,,Curruca curruca,0.01881746
Curruca iberiae,4.67E-05,,,,,TRUE,,,
Curruca melanocephala,5.83E-06,,,,,TRUE,,,
Curruca nisoria,3.15E-04,,,,,,,Curruca nisoria,1.42E-04
,,,,TRUE,,,,Curruca undata,0.006093122
Cyanistes caeruleus,0.580367869,,,,,,,Cyanistes caeruleus,0.583942646
,,,,,TRUE,,,Cygnus atratus,0.004035704
