EB_scientific_name,EB_reporting_rate,BT_replacement_name,TAX,SEN,EXO,VAG,EB_replacement_name,BT_scientific_name,BT_reporting_rate
Scolopax rusticola,0.005592685,,,,,,,Scolopax rusticola,0.005729117
Serinus serinus,1.05E-04,,,,,,,Serinus serinus,3.17E-05
Sibirionetta formosa,1.75E-05,,,,,TRUE,,,
Sitta europaea,0.10838961,,,,,,,Sitta europaea,0.11993163
Somateria mollissima,0.025030034,,,,,,,Somateria mollissima,0.02453075
Somateria spectabilis,2.97E-04,,,,,,,Somateria spectabilis,1.27E-04
Spatula clypeata,0.117312246,,,,,,,Spatula clypeata,0.102459406
,,,,,TRUE,,,Spatula cyanoptera,1.58E-05
Spatula discors,5.83E-05,,,,,TRUE,,,
Spatula querquedula,0.006047564,,,,,,,Spatula querquedula,0.005301807
Spinus spinus,0.071853459,,,,,,,Spinus spinus,0.076061153
Stercorarius longicaudus,7.17E-04,,,,,,,Stercorarius longicaudus,5.22E-04
Stercorarius parasiticus,0.006245845,,,,,,,Stercorarius parasiticus,0.004842845
Stercorarius pomarinus,7.87E-04,,,,,,,Stercorarius pomarinus,3.32E-04
Stercorarius skua,0.007983718,,,,,,,Stercorarius skua,0.006124774
Sterna dougallii,0.001329648,,,,,,,Sterna dougallii,9.18E-04
Sterna hirundo,0.051844595,,,,,,,Sterna hirundo,0.045009971
Sterna paradisaea,0.008380279,,,,,,,Sterna paradisaea,0.007153483
Sternula albifrons,0.006228349,,,,,,,Sternula albifrons,0.003972399
Streptopelia decaocto,0.199167221,,,,,,,Streptopelia decaocto,0.202687304
Streptopelia orientalis,8.75E-05,,,,,,,Streptopelia orientalis,3.17E-05
Streptopelia turtur,0.002962548,,,,,,,Streptopelia turtur,0.003291868
Strix aluco,0.008870149,,,,,,,Strix aluco,0.008166366
Sturnus vulgaris,0.395908418,,,,,,,Sturnus vulgaris,0.363181717
Sylvia atricapilla,0.17982318,,,,,,,Sylvia atricapilla,0.194346849
Sylvia borin,0.019291554,,,,,,,Sylvia borin,0.023090558
,,,,,TRUE,,,Syrmaticus reevesii,7.91E-05
Tachybaptus ruficollis,0.110074997,,,,,,,Tachybaptus ruficollis,0.119789194
Tachymarptis melba,2.92E-05,,,,,,,Tachymarptis melba,3.17E-05
,,,,,TRUE,,,Tadorna cana,2.37E-04
,,,,,TRUE,,,Tadorna ferruginea,0.002057418
Tadorna tadorna,0.111142214,,,,,,,Tadorna tadorna,0.106273542
Tarsiger cyanurus,1.46E-04,,,,,,,Tarsiger cyanurus,3.17E-05
,,,,TRUE,,,,Tetrao urogallus,3.17E-05
Thalassarche melanophris,0.001352975,,,,,,,Thalassarche melanophris,5.70E-04
Thalasseus elegans,4.72E-04,,,,,,,Thalasseus elegans,1.42E-04
Thalasseus sandvicensis,0.029794604,,,,,,,Thalasseus sandvicensis,0.022394201
Thinornis dubius,0.027735983,Charadrius dubius,TRUE,,,,,,
Tringa erythropus,0.008945963,,,,,,,Tringa erythropus,0.007881493
Tringa flavipes,2.92E-04,,,,,,,Tringa flavipes,2.06E-04
Tringa glareola,0.004589617,,,,,,,Tringa glareola,0.003703352
Tringa melanoleuca,9.91E-05,,,,,,,Tringa melanoleuca,9.50E-05
Tringa nebularia,0.024738444,,,,,,,Tringa nebularia,0.022647422
Tringa ochropus,0.025793998,,,,,,,Tringa ochropus,0.026936347
Tringa stagnatilis,1.17E-05,,,,,TRUE,,,
Tringa totanus,0.108920303,,,,,,,Tringa totanus,0.10508657
Troglodytes troglodytes,0.478463207,,,,,,,Troglodytes troglodytes,0.503165258
Turdus iliacus,0.131314368,,,,,,,Turdus iliacus,0.11434495
Turdus merula,0.616886525,,,,,,,Turdus merula,0.647991644
Turdus philomelos,0.236974702,,,,,,,Turdus philomelos,0.254739974
Turdus pilaris,0.054515553,,,,,,,Turdus pilaris,0.056420726
Turdus torquatus,0.003481577,,,,,,,Turdus torquatus,0.003086127
Turdus viscivorus,0.093565205,,,,,,,Turdus viscivorus,0.095574969
Tyto alba,0.010742153,,,,,,,Tyto alba,0.011569018
Upupa epops,5.13E-04,,,,,,,Upupa epops,1.58E-04
Uria aalge,0.030313634,,,,,,,Uria aalge,0.021523755
Uria lomvia,4.67E-05,,,,,,,Uria lomvia,1.58E-05
Vanellus gregarius,1.75E-05,,,,,TRUE,,,
Vanellus leucurus,0.001702882,,,,,,,Vanellus leucurus,0.001044535
Vanellus vanellus,0.177134726,,,,,,,Vanellus vanellus,0.168866521
Vireo olivaceus,1.52E-04,,,,,,,Vireo olivaceus,4.75E-05
Xema sabini,2.92E-04,,,,,,,Xema sabini,7.91E-05
Zonotrichia albicollis,3.56E-04,,,,,,,Zonotrichia albicollis,1.42E-04
Zonotrichia leucophrys,5.83E-06,,,,,TRUE,,,
,,,,,,,,,
,,,15,11,27,40,,,
